Radius,Coil diameter,Pitch angle,Pitch length,Number of turns,Total length,Stress,Strain
16.26233888,12.84527024,30.08289253,59.19050829,2.10089567,124.3530826,2.775206667,0.000205364
25.78033113,13.51624224,19.45515194,57.21839492,1,57.21839492,1.024435078,0.000363556
7.171338793,5.51366225,33.09315772,29.36582808,0.769794676,22.60565813,3.703509594,0.000395085
12.85994965,10.77443278,40.15859893,68.18249622,2.079253919,141.7687225,1.992788455,0.000890229
4.008545288,4.98832667,49.20096321,29.17975502,1.362008026,39.74306054,10.44371964,0.001042794
16.70469286,10.34467152,7.805330752,14.38749947,3.227145994,46.43056127,1.05131027,0.001078379
6.9579282,7.910529828,55.70076837,64.08996753,1.113918699,71.39101323,5.93487422,0.001346767
10.23609202,10.44792337,31.21207221,38.96923163,2.138392368,83.33150749,2.980932372,0.001526386
12.30927294,12.37938475,29.17346255,43.17767276,1,43.17767276,1.615259981,0.001548415
14.28215224,9.407515387,25.10607675,42.04768059,2.590609777,108.9291325,9.940902262,0.0015686
7.112097905,9.648581354,51.89664519,56.98409882,1.241366357,70.73814317,3.114876371,0.00158696
6.55812625,5.166916835,27.04652866,21.03763347,1.00407588,21.12338033,2.729022025,0.001652268
18.60347054,18.50284568,29.62727509,66.47584465,1,66.47584465,2.326490055,0.001712134
4.844272411,1.514365017,0.475615373,0.25266882,224.5778526,56.74382109,3.16639927,0.001966427
11.57351288,5.73140528,11.94206576,15.37996547,1,15.37996547,5.724803732,0.002475432
21.43365334,19.55264093,4.70743142,11.08960781,5.57131426,61.78369014,1.06917706,0.00252807
15.81926756,7.561360527,29.00387038,55.10454165,1,55.10454165,1.811194506,0.002655251
19.23165092,10.44225864,13.73588961,29.53684898,2.131784691,62.96620247,1.678725418,0.002809479
45.9722883,3.876219319,23.85168392,127.7104617,1,127.7104617,1.462706348,0.002900129
4.040942099,6.875503048,58.22856107,40.99547437,0.995083033,40.79390096,21.50165838,0.00290927
4.4831749,7.201864284,48.13455461,31.4325544,1.425993395,44.82261495,6.232225111,0.003033507
9.708289801,9.179370505,25.7807054,29.46272293,2.601052798,76.6340979,3.154783395,0.003033557
8.804541142,7.280746114,23.35321659,23.88573512,0.871091759,20.80666703,3.364493446,0.003194064
5.710423467,6.849752096,37.83414405,27.86537078,1.392760361,38.80978388,2.060135743,0.003416832
4.752549393,7.720963477,48.81279426,34.1254878,1.416233059,48.32964397,5.029786921,0.003561551
5.093182656,5.711649303,0.709462275,0.396276202,61.56204695,24.39557413,1.184705023,0.003575859
7.711813854,8.491710982,28.11803862,25.8920377,2.064014002,53.44152834,2.778371577,0.003590568
5.325761668,7.390920389,35.78722537,24.12275477,1.325023913,31.96322692,3.928631164,0.003721317
10.41311801,9.0580598,0.136594306,0.155980908,258.5173183,40.32376608,1.51119886,0.003824836
19.87042273,15.29492616,31.97115658,77.927292,2.463744228,191.9929159,3.788277282,0.003917014
16.26931991,12.15607414,25.33595685,48.39917178,2.374256639,114.9120549,1.596133796,0.003956739
4.78173714,6.756080542,42.930511,27.94893962,1.489131626,41.61964991,2.509654824,0.004109095
20.98150947,11.70835274,6.337851802,14.64240652,3.561011657,52.14178029,1.084496883,0.004311475
8.014983691,6.632256141,28.4416148,27.27663813,1.176598542,32.09365265,1.413578388,0.004342814
12.87314849,6.559352161,37.14911653,61.28144255,1,61.28144255,4.577879003,0.00442011
5.216183294,4.641602239,26.79558786,16.55229536,1.520571519,25.1689489,3.081257668,0.004423014
16.55338771,9.530848027,34.48923609,71.45395421,1.739282145,124.2785867,2.240066639,0.004457433
3.706489449,5.676924528,43.36447984,21.99556393,15.13825095,332.9743664,2.18817583,0.004523699
7.354048595,9.477393082,29.88008413,26.54874936,2.177413544,57.80760643,2.736685772,0.004606768
9.79198651,8.859918408,32.34624764,38.96394913,0.752696754,29.32803805,1.81303783,0.00461669
5.032718889,7.818952831,31.8168757,19.61906053,2.311438243,45.34824681,1.683536792,0.004649083
10.16866309,6.285497221,21.01228932,24.54140994,1,24.54140994,3.427184169,0.004938227
14.27446212,7.955436298,0.094184263,0.147433347,191.8870605,28.29055152,1.46706951,0.004959613
9.120414154,13.1699338,52.16979074,73.79710977,1.058428289,78.10894862,3.114437518,0.005052383
25.40499901,11.50543755,3.92818667,10.96098901,3.400640569,37.2743839,1.180248642,0.005085653
11.49123853,6.972292687,11.48395607,14.66852418,3.035629551,44.52820547,1.473321199,0.005403425
9.126069798,8.188373952,47.46275629,62.49488354,1.218875617,76.17348972,2.247517762,0.005791525
11.21471947,12.50769331,19.56437353,25.04179982,2.983033379,74.70052473,1.013811443,0.005927891
3.392207472,4.940645414,59.89571367,36.76201316,2.440645165,89.72302967,2.902765486,0.005943769
14.76277841,9.11975538,22.36324782,38.16220045,1,38.16220045,1.199862625,0.006086125
7.027609788,8.874491789,34.19328498,30.00066888,2.030160245,60.90616527,2.147059401,0.006137916
11.64728961,9.279779765,33.9538709,49.2762568,1.628347836,80.23888615,1.488952739,0.006247145
11.25144074,8.864166688,22.18516122,28.82869319,2.200251597,63.43037822,2.468513807,0.006254782
19.70387515,6.919059821,13.90503852,30.64972359,1,30.64972359,2.24683713,0.00649884
8.543539134,6.96996581,23.80823908,23.68520448,1.065372801,25.23357263,2.043562493,0.006512728
3.573427468,5.984987634,3.172190211,1.244358428,224.6949097,279.6010045,7.663037466,0.006514726
14.47380364,11.054631,7.698679479,12.29365115,3.189540289,39.21109565,1.337371436,0.006577415
5.508836011,5.882165969,59.19740088,58.05792233,1.232016643,71.52832656,9.254486287,0.00660708
24.58190141,8.855592975,8.035832506,21.80541371,1.081631078,23.58541312,1.896488108,0.006669164
3.820807994,7.29808297,85.7130331,320.2551252,1,320.2551252,5.627866438,0.006794406
11.92309712,10.83637132,0.215026587,0.281151574,197.2682649,55.46228313,1.487934848,0.006855007
10.98379693,8.319674592,2.928564834,3.530555231,3.959422022,13.97895813,2.150315568,0.006996753
19.7259749,9.605052148,17.51438127,39.11295341,1.556227344,60.8686476,1.299409692,0.007016988
9.742612689,13.09872971,56.31400229,91.83609445,1.94288807,178.4272523,2.384584977,0.007269909
7.819650871,6.625884091,19.11318147,17.02624944,2.164417529,36.85191275,2.349451718,0.007277482
6.653956158,7.418623749,33.63964773,27.81891538,1.211969059,33.71566468,1.577674985,0.007283029
