radius,diameter,pitchangle,Pitchl,numberofturns,lengthccnt,YieldStress,Strainend,Toughness
2.307310447,1.255327487,5.881899014,1.493517233,39.86922409,59.54537324,56.77398091,0.120110287,3.816808853
6.961865504,9.277888683,40.73543098,37.67173735,1.713914073,64.56612081,0,0.001962451,0.004732616
20.43454333,15.13505212,6.411183022,14.42707299,3.848517395,55.52284135,0.168091676,0.013259612,-0.004214769
4.662186268,4.596579396,51.02241799,36.20326607,5.710211436,206.728304,39.03552491,0.184483086,2.43403419
9.353125647,9.1062376,28.21803618,31.53463716,1.891222942,59.63902926,12.12963085,1.371144997,7.792958448
2.782577198,2.808581541,70.00339633,48.04424003,5.321000933,255.643446,50.84903003,0.359103493,4.88254758
6.748831306,6.14411859,49.40667212,49.48544102,1.570571173,77.72040715,6.20518408,0.103484109,0.162199688
4.287463993,6.514510741,69.90476773,73.63307314,3.544738379,261.0099803,33.20226885,0.240555358,2.834832771
14.35096098,13.55847198,13.66352996,21.92021861,2.998641814,65.73088409,4.101215163,5.0861656,23.78095228
2.896140926,1.263496173,83.3403634,155.8510371,1,155.8510371,60.27296356,0.259958973,4.580069763
11.92398281,11.26848281,51.03039107,92.61963541,2.175412626,201.4859243,11.12923345,0.459536018,3.271819894
20.52203853,17.18950101,0.197921799,0.445423464,177.0283154,78.85256545,4.846256761,3.704502251,10.19500681
13.95400683,12.17700871,21.16512239,33.94574254,2.661143137,90.33447979,7.883126482,1.297062948,5.00262178
12.14330908,9.833655958,20.70739397,28.84211429,2.115785629,61.02373094,6.542331195,1.686970497,7.794099619
5.508705423,7.50651152,52.92687019,45.81019327,3.000617572,137.4588709,21.83347847,0.254968241,2.49422299
3.784390573,5.857727562,42.8720498,22.07430042,1.927669408,42.55195362,14.30220049,0.932503838,9.202536133
8.370855901,10.95307197,49.48894102,61.55751757,3.299553214,203.1123049,17.26199621,0.382216233,2.616333157
4.981989524,5.6529549,64.43175831,65.4269494,3.371762407,220.6041284,38.83768203,0.305105214,2.942553234
17.0213047,11.51873501,19.00480384,36.83518382,2.372667814,87.39765505,4.226041909,1.543922911,6.156917802
10.48336532,8.378492532,21.88295738,26.45638266,2.303170399,60.93355742,8.549600794,1.652622594,9.61444421
20.09707586,16.24734622,12.78137644,28.6455101,2.806386849,80.39038283,2.951466396,1.645095657,3.279101025
9.425317894,9.925961374,41.70763038,52.77815232,1,52.77815232,7.464913564,1.248611502,5.061579467
20.412741,9.721609729,23.926406,56.90642645,2.291410689,130.3959938,6.477074666,1.726479373,7.475970819
11.63285683,9.424212919,31.86918534,45.44086489,2.231813207,101.4155224,5.44605147,1.179378919,5.487349072
7.712303237,10.20314729,32.95568588,31.41562527,3.400563634,106.8308328,11.14071301,0.797790028,5.017930665
14.09045508,14.39993944,33.83978276,59.35669996,3.087357572,183.2553571,8.394809007,0.625114847,2.809423712
9.432191155,8.567203913,35.52843196,42.31713377,2.009078619,85.01844868,9.7517452,0.44071325,2.417804013
10.38138547,8.463382545,31.96790142,40.70829029,2.069948985,84.26408415,13.68619476,0.735829887,4.546821498
4.82714762,1.013084223,4.073069053,2.159742787,122.7684914,265.1483638,0,0,0
18.92364624,16.30834395,20.46429959,44.37075588,2.899597362,128.6573267,0,0,0
25.42553014,10.15829941,32.09081138,100.1773692,1.598272593,160.1107437,5.130367748,1.133297759,4.96085834
4.028540611,5.255213061,56.48149372,38.21553731,5.782436197,220.9789062,35.90564388,0.150733551,2.20531133
4.086539527,7.566616906,60.49502021,45.37383185,3.693733641,167.5988491,9.239453267,0.265793045,2.707315062
15.14328375,13.270803,23.41398998,41.2018273,2.762873543,113.8354386,6.410136668,0.571028057,1.97607559
3.803769651,3.33941708,67.60705478,58.00550685,3.186387624,184.8280292,51.34627307,0.455382674,5.05210123
15.77296435,15.70328823,21.20480652,38.4496508,2.961011734,113.8498672,5.555005422,1.273018542,4.593356089
20.81167789,12.90667087,14.07469566,32.78416545,2.776980209,91.04097862,3.234401252,2.679653738,7.696291316
15.0424915,15.72911965,17.87008903,30.47295702,2.913683139,88.78854106,4.663106983,1.723009579,5.172492775
8.76576861,9.292486111,27.73024142,28.95313787,2.715711997,78.62838388,6.378024691,1.030899543,4.332613495
17.95978482,18.03917962,23.48438712,49.02969392,3.035051872,148.8076643,6.593084408,1.09029961,3.231700769
17.39922087,8.908115446,10.35762273,19.98086891,2.711625022,54.1806241,6.172963581,4.506529623,16.5211927
10.57985802,7.232697778,35.86652837,48.06086752,2.246877857,107.986899,10.66390637,0.812056132,5.355277336
18.95502241,18.74038883,24.80660252,55.04761956,3.029953824,166.7917454,6.947183403,1.790546353,4.64697162
8.307890035,12.79266514,50.5192753,63.36710046,3.91092288,247.8238431,17.37315462,0.34168983,2.44328014
18.64873659,13.36939503,19.62278957,41.77611807,2.810676446,117.419151,7.163002721,1.464557232,4.026853322
21.29287727,14.42757789,14.69004995,35.07355543,2.813733096,98.68762371,0,0,0
8.915886064,10.24894673,37.26666433,42.62444319,1,42.62444319,6.708494261,1.647240624,7.245883864
10.68941914,12.500119,37.19262814,50.96632919,3.024353355,154.1401886,11.68748766,0.545809131,3.072592083
3.483552238,3.036775765,55.03344316,31.2978897,4.449847287,139.2708296,49.65150853,0.19022045,3.279186464
4.067635627,4.484042837,53.77559066,34.8889836,5.469746783,190.8339058,22.81887071,0.220022014,2.913769664
11.22313071,14.82548165,37.69586916,54.49361831,3.729882154,203.2547745,13.51150584,0.425276095,2.245622048
4.038518478,7.72714265,53.99139152,34.91432823,5.534868047,193.2461997,33.52043164,0.154714529,2.454433519
12.59281961,13.75503808,14.5950524,20.6027069,3.027113947,62.36674142,5.630060105,3.185286983,13.01277285
21.26891507,9.086880945,22.31634614,54.8528811,1.919521496,105.2912844,9.335294215,1.38052048,5.163869573
4.861371187,7.940600874,43.30736619,28.79146904,4.044798079,116.4556787,20.25721133,0.769753422,6.645194378
20.63843877,13.52629039,9.261163029,21.14487259,3.058272462,64.66678156,8.14316312,4.863296866,14.83276046
7.220199027,5.243156022,18.62122834,15.286009,2.300787286,35.16985516,10.33912804,3.603194547,28.63223055
13.84983887,11.20451735,17.95536797,28.1999458,2.588806459,73.00420183,5.846539366,1.946500099,9.124389725
11.14246593,10.71231519,15.80781957,19.82120381,2.833143807,56.15632084,8.05867878,1.059798619,4.018468435
12.98441696,12.07062057,42.52214393,74.81552887,2.497907536,186.8822734,7.367715487,0.56158439,2.432885287
11.05070773,8.287184158,24.97487203,32.34037509,2.844547787,91.99374238,10.74651419,0.797086481,4.445072702
15.64024798,16.39228017,14.3511101,25.14223386,3.031009485,76.2063493,6.468982861,3.227634132,12.86324387
12.05937428,5.460279479,40.91235397,65.66374638,0.859039317,56.40773983,6.555402417,0.746372889,7.033025587
5.025087828,6.072075235,66.08519956,71.20012312,3.152269114,224.441949,38.51887218,0.089881375,1.897626322
21.72758463,14.76244885,14.50002597,35.30613532,2.686697243,94.85689643,3.031781086,1.111577083,1.912166277
5.806854307,7.843288995,67.06515998,86.22706338,2.562838054,220.9859993,36.12960145,0.169809777,2.528394819
19.70387515,6.919059821,13.90503852,30.64972359,1,30.64972359,2.24683713,0.048120882,0.038763946
8.167571527,11.08967463,20.78899776,19.48274275,3.136644649,61.11044079,8.216048732,1.392379538,8.435354382
22.12782363,18.91206535,17.59598494,44.09321107,2.933239841,129.3359634,5.451226535,2.319222259,6.59666617
3.332966999,1.605267885,3.738029059,1.368194087,64.61756336,88.40936809,52.2893843,0.229283637,4.433520503
13.75454947,11.04877432,62.39015432,165.2416066,1.49989661,247.8453255,13.44203025,0.24966768,2.804642653
6.247637266,8.815146416,57.99107399,62.79946001,3.448740715,216.5790546,23.93874206,0.47567359,4.034337829
7.112097905,9.648581354,51.89664519,56.98409882,1.241366357,70.73814317,3.114876371,0.352887764,2.320641189
8.549601348,8.595738774,28.76444072,29.48872089,1.944295207,57.33477869,8.902888247,1.275442912,7.961774577
3.347958431,5.289178925,40.63526185,18.05236692,1.907878897,34.4417299,17.24952518,1.421984728,18.10105074
21.24856811,15.09629079,15.34798043,36.64404207,2.899735945,106.2580459,3.943048828,2.620407607,9.967389401
13.62323957,12.89540058,29.50911731,48.44662662,1,48.44662662,4.133345315,2.354500826,6.080209944
9.510057426,10.93667249,47.12387382,64.35612878,2.559905297,164.7455949,14.13765634,0.465741004,2.775149202
10.19243407,13.16783071,52.19069736,82.53342451,2.961962033,244.4608699,11.1945989,0.495791251,2.272457967
20.92780876,9.029674772,27.64967338,68.88825901,0.921854337,63.50494032,6.48619043,4.131292459,18.4289835
21.85399628,17.67697168,4.111001797,9.869199611,6.525131919,64.3978294,4.21138624,5.001293297,12.46821516
11.96989789,12.46862787,25.456773,35.80326833,2.817747383,100.8845656,6.820470114,0.68053284,2.888991041
7.303237899,8.284324873,47.04355605,49.28348331,1.419494224,69.95761987,17.60712914,0.431266981,4.305211952
14.74539126,15.89838605,15.84119698,26.28871355,3.052398783,80.24363727,5.42437038,1.544836263,3.927178442
7.450917487,8.826041975,19.60427617,16.67418514,3.022984976,50.40581114,9.28306695,0.84320734,4.527246634
3.502609311,4.408662655,63.55638702,44.24930446,4.205043019,186.0702288,43.72951576,0.305084552,4.078593281
7.274292059,8.182260835,44.46016199,44.85246493,3.725986735,167.1196894,19.60833184,0.369566892,3.45324069
10.13228572,10.18640684,20.32424684,23.5803021,2.894942704,68.26362351,6.830727625,1.627334023,6.676322707
3.773605153,3.639593266,54.39029749,33.10629553,6.178823057,204.5579422,36.22926714,0.154722097,2.119189039
7.129957373,11.84211105,44.42358176,43.90640338,4.384029351,192.4869611,19.95533908,0.335096755,2.707986407
6.882946366,8.240273785,52.62184551,56.60922158,3.108279737,175.9572964,25.37791349,0.324452479,3.382386986
12.95711396,15.10917544,15.3565386,22.35816049,2.891039355,64.63832188,4.870032621,2.082999728,8.194542491
24.37765999,12.93143076,12.21090254,33.14689633,2.305555117,76.42199644,2.766605817,2.591752125,6.440299155
11.2695558,8.820512297,19.76464654,25.44335977,2.25672844,57.41875362,5.18660288,1.219929736,4.552106002
3.488107277,6.417488271,65.35219349,47.76428812,5.704764646,272.4840222,17.86590087,0.379346016,4.272061244
14.16551135,10.39271871,24.7583942,41.04746372,2.163136862,88.79128189,5.569055097,1.126902694,4.611806556
15.75893742,17.7313851,24.23439551,44.57116641,3.08103036,137.3251169,6.85991538,1.04046226,3.573502183
4.994621145,7.477580769,54.1315475,43.40300562,3.43671001,149.1635439,27.66481864,0.553795902,5.422029493
2.530668884,1.250161018,5.195656009,1.445858045,82.94761346,119.9304743,55.24969227,0.100357582,2.958184922
6.812471359,8.265070628,0.806146593,0.602288551,44.17161608,26.60405863,5.596287888,3.401359573,23.048523
4.356256721,6.538402782,65.26658797,59.41789278,4.697303747,279.1038904,9.267578732,0.190010696,2.067053614
20.88070003,12.89762416,3.713320329,8.514778539,5.245779647,44.66665195,0.712813881,0.013520252,-0.000431601
15.95312005,14.68908473,38.71310814,80.34216458,2.573451933,206.7566987,7.351058266,0.6064758,2.938498853
17.72292819,14.7081676,16.08569993,32.11127947,3.047134832,97.84739816,8.493813694,2.031017611,6.508668984
4.001220739,1.80427655,4.801347295,2.111694665,91.96296701,194.1977068,54.80819388,0.11000703,2.779206493
6.673618052,9.540104036,50.01028296,49.99032753,2.102723503,105.1158367,6.443796994,0.389527383,2.694006913
16.24815922,16.97605457,16.17010658,29.60219207,2.992706094,88.59066061,6.061506358,2.787781451,9.262731745
13.86738035,8.95074638,54.88273707,123.8959624,1.34277387,166.364261,14.51959586,0.461523682,4.029462442
17.86188616,15.1743532,29.21548895,62.76279207,1,62.76279207,4.835197104,1.73441747,3.752931352
17.05981408,12.42993841,23.36002532,46.29648039,3.299663804,152.7628206,9.200519016,1.060885541,4.565157303
9.596153682,11.35040531,19.38804695,21.21887668,2.619124212,55.57487366,6.754559594,2.312829239,11.94964681
12.87796671,13.45207269,35.4822655,57.67808038,3.105352114,179.1107489,11.83816539,0.745825631,3.911726007
5.560743012,8.972590923,45.7470939,35.86243089,3.433350081,123.12828,14.75651056,0.405305457,3.494547615
14.50471074,17.91023118,35.15893292,64.19144625,3.544620907,227.5343424,9.525379386,0.680450128,3.206364318
5.069248269,5.920374147,55.68481703,46.66529024,2.386735418,111.377701,38.47219772,0.408869369,3.361699052
18.91906094,10.09606716,49.30336671,138.2178372,1.138684569,157.3865185,9.267070774,0.441240729,3.099756208
4.182035117,1.804583096,83.59480394,234.0686608,1,234.0686608,31.13388826,0.089910418,1.671442701
8.806254019,11.83183591,44.07402201,53.57115983,3.457128483,185.2023825,13.36801787,0.405574011,2.781145695
4.365599036,6.619179862,65.55310044,60.33747675,2.618351793,157.9847405,24.48636397,0.499891211,4.334615756
9.528337871,11.9733445,56.48029211,90.38359038,2.31265487,209.0260505,15.28481411,0.63476182,3.310127423
11.36269976,8.447792842,26.91986643,36.25134883,0.873498933,31.66551451,3.530743377,1.139486718,1.164079835
7.760491453,10.70037448,43.35393211,46.03640419,3.780874394,174.0578618,16.60471826,0.356490646,2.839460232
11.5080617,13.10398113,29.10713861,40.25751877,3.108430228,125.1376883,8.655422644,0.855783456,4.39838719
17.70026031,15.9162777,29.52649242,62.98976391,3.087515497,194.4818723,6.819072323,1.024296048,3.321382828
7.840507342,10.88567634,44.81550256,48.9471131,2.990640008,146.3831947,16.40379315,0.334233897,2.683858028
8.334233955,11.02836646,42.51344166,48.00677854,3.533163523,169.6157988,16.60053316,0.43502945,3.271955018
4.36627302,3.04238531,61.05063503,49.59574755,4.979089631,246.9416723,44.56242326,0.145285463,2.154950658
7.257403846,8.287611229,64.24429513,94.51373217,2.62099762,247.7202671,18.06855844,0.160198232,2.118601345
5.30549383,4.841426549,51.8852628,42.4916996,4.873271704,207.0735973,43.59068741,0.09977712,2.172262854
3.950037786,2.807507548,0.964091079,0.417654861,427.7922089,178.6694956,40.8292365,0.265673125,3.327701274
17.4840576,11.08362161,32.03626168,68.74209275,2.4379949,167.5928716,8.271339664,0.981294514,4.147427007
9.571391557,8.491296144,16.28880957,17.57307429,3.141088455,55.19858076,6.414137369,2.063490967,10.75094355
10.48842394,10.06553677,25.79846727,31.85547366,2.470252834,78.69107408,9.57386992,1.155415327,5.551385353
6.337285993,11.23859956,53.64449623,54.09619163,4.798709963,259.5919338,24.91844157,0.295046575,2.489348654
11.20167565,9.980435335,30.04345078,40.70638219,1,40.70638219,5.960646198,2.456520249,8.672696879
2.86284544,1.394130366,3.568188015,1.121669289,216.2523133,242.5635786,38.69817528,0.095223418,2.234059861
13.7559262,15.10311998,20.81832308,32.86370242,2.995530064,98.4442086,6.254504226,1.059669793,3.215699585
8.994204885,11.84509026,39.90858991,47.26597775,3.175372221,150.0870728,11.57641976,0.550256265,3.353083185
16.45787991,11.21930759,26.76585147,52.15775928,2.207131954,115.1190572,8.008543562,1.223528571,4.95223789
13.92646506,16.99453443,15.14886506,23.69008148,2.935816718,69.54973728,4.814774709,2.513422752,8.928173884
2.635306894,1.985500441,2.199125994,0.635845912,169.4538557,107.7465414,46.40673365,0.105123689,2.68255435
8.208188765,10.90344033,39.09830973,41.91017803,2.636186132,110.4830301,14.1419556,0.792399257,5.053451577
4.412072043,7.669752585,55.71818786,40.66646013,6.536608725,265.8207381,32.77722212,0.215103275,2.515668137
8.104545135,9.383291271,41.22395159,44.61677063,2.156487357,96.21550176,11.45675359,0.405346843,2.35656708
