Radius (A°),Coil diameter (A°),Pitch angle (deg),Pitch length (A°),Number of turns,Total length (A°),Yield stress (GPa),Failure strain,Toughness (GPa)
8.23410722,6.992397394,30.64025471,30.64591669,1.667363874,51.09789437,1.54297896,0.015328352,0.000419352
5.230225425,3.883433814,29.73752917,18.77296405,1.33788156,25.11600244,1.950201437,0.029217306,0.002185619
10.63822051,8.196172727,22.14597419,27.20418315,0.620406205,16.87764404,2.216253478,0.021796648,0.002405957
14.33557359,6.836554841,35.10002349,63.30446576,0.80284569,50.82371751,1.533672462,0.016356677,0.005886997
8.793232775,9.00340694,33.00966684,35.8927062,0.970319147,34.82738007,1.650970895,0.024107851,0.00639841
5.650860596,8.836825232,39.51875225,29.2879189,1.225003047,35.87778989,2.132879874,0.021746403,0.006978393
13.83828065,11.73938145,25.75471401,41.94778733,1,41.94778733,0.898955999,0.030627308,0.007947657
9.029457328,6.368016971,43.99789378,54.78311871,1.092104341,59.82888176,2.08935539,0.016673006,0.011283642
5.650861072,8.836824982,40.56371244,30.39282933,1.147038101,34.86173323,1.893941207,0.013941731,0.012045521
6.498001511,8.297245329,40.55982069,34.94432019,1.244733062,43.49635067,1.783074722,0.036410545,0.012748543
6.55812625,5.166916835,27.04652866,21.03763347,1.00407588,21.12338033,2.729022025,0.014652676,0.013934981
5.032718889,7.818952831,31.8168757,19.61906053,2.311438243,45.34824681,1.683536792,0.032892922,0.014048823
10.90508209,5.025007855,36.51859248,50.73555184,1.001631099,50.81830658,2.848301667,0.033361313,0.015268291
6.55048074,8.127957023,36.38186763,30.32410887,2.04192277,61.9194884,2.502426511,0.0158553,0.015998611
16.55338771,9.530848027,34.48923609,71.45395421,1.739282145,124.2785867,2.240066639,0.018615726,0.016184025
7.027609788,8.874491789,34.19328498,30.00066888,2.030160245,60.90616527,2.147059401,0.021050015,0.016692329
13.01257872,6.296494679,30.92935444,48.98952576,0.953571397,46.71501053,3.242723991,0.049537891,0.019448407
5.999837405,9.16176822,40.89466559,32.64896723,2.037830176,66.53305062,1.756019249,0.048917002,0.02330832
10.63822132,8.19617383,21.15452342,25.86525409,0.663443235,17.16012785,2.590447757,0.026301446,0.024319095
5.780220492,9.096724095,25.1767114,17.07201871,2.574349525,43.94934327,2.597860825,0.062309254,0.025810946
8.898476723,7.225016024,27.06542821,28.56843349,0.650755271,18.59105867,2.290831011,0.052673251,0.02615236
8.804541142,7.280746114,23.35321659,23.88573512,0.871091759,20.80666703,3.364493446,0.02747885,0.03493511
13.56874554,7.815067952,31.18380496,51.59929771,0.913955672,47.15947083,1.578828917,0.045233495,0.035177583
17.54004998,7.932927311,15.04920238,29.63143773,0.546248204,16.18611963,2.193102887,0.111203986,0.038231136
19.70387515,6.919059821,13.90503852,30.64972359,1,30.64972359,2.24683713,0.048120882,0.038763946
4.964645518,8.433275144,49.89726222,37.04022149,2.513050449,93.08394523,2.709964866,0.078946728,0.041675436
7.040201749,9.299662236,40.34540427,37.57422255,1.661615239,62.43390079,2.190596559,0.059801944,0.041695922
4.752549393,7.720963477,48.81279426,34.1254878,1.416233059,48.32964397,5.029786921,0.014578471,0.044424009
5.216183294,4.641602239,26.79558786,16.55229536,1.520571519,25.1689489,3.081257668,0.077338237,0.048678618
4.363546422,7.288449494,50.96207144,33.81134985,1.414824963,47.8371418,8.131273469,0.01164838,0.050207835
9.293035929,6.158209519,41.01411331,50.78279357,1.365413455,69.33950962,4.531918767,0.099188534,0.055733858
4.965464894,8.421033193,50.02581552,37.21548467,2.480644785,92.31839795,4.183067346,0.062095825,0.056827376
4.775327203,5.071861375,32.57188347,19.16778911,1.497989043,28.71313806,2.807668457,0.065494675,0.065592436
6.250853297,4.207858591,26.15697691,19.28920984,0.985406321,19.0077093,3.483027004,0.049005746,0.067930869
5.716025489,8.356423153,49.31557348,41.77782619,0.87378452,36.5048178,3.780310953,0.091542864,0.068272403
6.250852608,4.207858478,24.34120571,17.76747751,1.06980403,19.00771905,3.483958725,0.048439218,0.06933981
6.089705195,9.164250611,23.27796613,16.46110116,2.531814661,41.67645726,2.991877842,0.117915713,0.093983361
6.722558748,6.801515718,36.56091871,31.32483158,0.917047381,28.72635475,3.401713978,0.058033039,0.103546978
7.213431164,9.962107976,37.33751372,34.57404051,0.961279669,33.23532223,3.185260493,0.047972298,0.107547408
6.853264383,5.620701279,31.27392582,26.15425845,0.986418987,25.79905713,3.811177234,0.084098712,0.111460652
6.438867063,9.251437012,21.29775689,15.77154265,2.409710561,38.00485288,3.111061485,0.125460281,0.116137849
6.189328677,5.377878219,28.03895106,20.71141206,1.171535159,24.26414742,4.466278679,0.07864854,0.129199487
7.604403875,8.244610082,16.30258228,13.97415187,1.87092936,26.14465102,2.944063077,0.239556558,0.146911514
6.748831306,6.14411859,49.40667212,49.48544102,1.570571173,77.72040715,6.20518408,0.103484109,0.162199688
16.72669533,7.331531527,2.530064044,4.643883392,3.308634534,15.36491296,3.620543263,0.151778615,0.174610776
6.138412544,10.15609326,52.55897059,50.37107721,1.439825233,72.52554797,9.240757472,0.038348887,0.18644925
7.525604207,5.94631943,29.98464467,27.28297838,0.704093223,19.20976018,5.417857418,0.088718302,0.188638474
7.526469248,5.6256398,22.09804307,19.20067787,1.330011019,25.53711313,3.623453991,0.311736103,0.194268032
5.037544485,7.110089336,27.79639418,16.68556884,2.422692932,40.4240097,4.226804301,0.146477057,0.205064714
5.586934996,7.150953182,23.88567993,15.54534458,2.329862698,36.21851846,4.044933004,0.155275934,0.219917698
4.772492604,5.397946739,45.29057585,30.29216135,1.0792371,32.69242438,9.111930446,0.02336569,0.246987443
6.88064674,11.75945124,46.78114359,46.00745514,2.334397749,107.3996997,4.47939875,0.078761661,0.26277625
8.446540321,8.4288256,34.82872702,36.92490569,2.003884176,73.99323422,4.255042528,0.144694168,0.263675589
6.191459042,7.174450077,19.79745118,14.00365737,2.160072265,30.2489119,3.819570335,0.238388236,0.264116527
19.202493,6.946035849,11.54211014,24.63945345,0.903089745,22.25163774,2.388506023,0.628370777,0.277933498
9.821533069,3.998846273,49.43649039,72.09176046,2.757114629,198.7652474,9.413374187,0.114634276,0.308805814
6.139323792,8.070763198,38.49625497,30.67943352,1.288590619,39.53323023,7.654448605,0.091068941,0.311909736
5.037543395,7.11008831,27.72024571,16.63184606,2.3793444,39.57288979,4.265354476,0.207714791,0.333035405
5.535949522,4.499377447,49.1191317,40.18215533,1.619816867,65.08773295,6.673423057,0.093467713,0.33333013
7.526466843,5.625639799,22.06764474,19.17145209,1.305086675,25.02040666,3.916809594,0.476542268,0.338677036
7.841304582,5.273059854,33.33444601,32.40568723,0.714885554,23.16635767,5.856370764,0.635292101,0.346523877
9.765912875,6.996557891,17.87737809,19.79232498,0.63193207,12.5074049,3.737567352,0.525859777,0.352190518
6.431787483,8.276661884,23.2854734,17.39206031,1.963760712,34.15384473,5.15272393,0.176533883,0.35699284
9.655176407,12.62256762,49.35832071,70.67526237,1,70.67526237,3.393301086,0.252642329,0.379067506
12.87918592,6.187660182,28.43196266,43.81288883,1.165895869,51.0812661,4.041474071,0.348576651,0.411219375
22.50461682,7.874136903,11.60040011,29.02641974,0.758113918,22.00533278,2.372489825,0.724697328,0.411282533
5.996034717,8.221451559,25.79216847,18.206066,2.02398215,36.84875262,6.480898316,0.185742757,0.428699503
3.489480732,5.056875613,49.3367088,25.52328564,1.538864307,39.27687328,10.13807751,0.044943112,0.429997695
5.613169865,8.17604604,27.4234334,18.29980284,2.152849963,39.39672987,6.534618506,0.154462777,0.437576742
6.997619304,6.919384541,31.05751465,26.47834829,1.276897054,33.81012493,6.718686518,0.160073337,0.446844434
6.476863153,8.036559131,44.26790111,39.66842471,1.174545308,46.5923621,3.430398204,0.294398146,0.473714337
5.996034811,8.221451688,25.22795635,17.75058979,2.104127846,37.34951025,6.368237104,0.209716456,0.496291813
9.113098287,7.791478791,26.08588324,28.03354292,1.071467681,30.03703522,4.958109182,0.184417251,0.522640746
6.409842523,5.941027385,27.50738409,20.97203367,1.41176388,29.60755962,7.519948074,0.324358909,0.533392995
26.38298144,5.294242026,42.80621595,153.5373352,1.050241998,161.2513577,11.89496634,0.31046735,0.557654267
3.489480654,5.056875494,49.33563502,25.52231736,1.538922712,39.27687385,10.31735144,0.056127481,0.582529659
